Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
32;1;6;1;mittel;right;3,551712;-14,85499;15,27369;16.11.2023 13:24:53
32;2;6;1;mittel;right;1,738959;-23,18999;23,2551;16.11.2023 13:24:53
32;3;6;1;mittel;right;-0,145182;-24,30814;24,30858;16.11.2023 13:24:54
32;4;6;1;mittel;right;6,37077;-10,04758;11,89708;16.11.2023 13:24:55
32;5;6;1;mittel;right;7,628261;-23,07055;24,29898;16.11.2023 13:24:56
32;6;1;1;mittel;right;13,6917;-0,6304747;13,70621;16.11.2023 13:25:01
32;7;1;1;mittel;right;9,957451;-7,998728;12,77225;16.11.2023 13:25:02
32;8;1;1;mittel;right;12,03026;-10,07238;15,69013;16.11.2023 13:25:02
32;9;1;1;mittel;right;14,66271;-7,657645;16,5419;16.11.2023 13:25:03
32;10;1;1;mittel;right;5,399433;-4,198565;6,839724;16.11.2023 13:25:04
32;11;4;1;mittel;right;13,6857;-7,867216;15,7858;16.11.2023 13:25:08
32;12;4;1;mittel;right;24,85005;-7,41068;25,93151;16.11.2023 13:25:09
32;13;4;1;mittel;right;10,27452;-5,005747;11,42905;16.11.2023 13:25:10
32;14;4;1;mittel;right;13,38534;-3,97669;13,96358;16.11.2023 13:25:11
32;15;4;1;mittel;right;17,06619;-3,206767;17,36486;16.11.2023 13:25:11
32;16;5;1;mittel;right;16,71847;-21,8732;27,53078;16.11.2023 13:25:15
32;17;5;1;mittel;right;18,54188;-23,25978;29,7459;16.11.2023 13:25:16
32;18;5;1;mittel;right;21,97755;-29,17069;36,52317;16.11.2023 13:25:17
32;19;5;1;mittel;right;5,327922;-17,51293;18,30545;16.11.2023 13:25:18
32;20;5;1;mittel;right;4,324132;-4,686442;6,376586;16.11.2023 13:25:18
32;21;3;1;mittel;right;-5,393772;-6,307014;8,298866;16.11.2023 13:25:21
32;22;3;1;mittel;right;8,805262;-6,142649;10,73614;16.11.2023 13:25:22
32;23;3;1;mittel;right;-6,962747;-3,99144;8,025674;16.11.2023 13:25:23
32;24;3;1;mittel;right;3,342364;-9,572048;10,13881;16.11.2023 13:25:24
32;25;3;1;mittel;right;2,068994;-15,00429;15,14627;16.11.2023 13:25:24
32;26;2;1;mittel;right;2,415872;-16,45728;16,63365;16.11.2023 13:25:28
32;27;2;1;mittel;right;8,153573;-6,878772;10,66763;16.11.2023 13:25:29
32;28;2;1;mittel;right;4,641435;-4,706662;6,610264;16.11.2023 13:25:29
32;29;2;1;mittel;right;8,659675;-3,411358;9,30738;16.11.2023 13:25:30
32;30;2;1;mittel;right;3,917058;-1,732278;4,283004;16.11.2023 13:25:31
32;31;3;2;mittel;right;5,607665;-8,806539;10,44036;16.11.2023 13:26:37
32;32;3;2;mittel;right;-0,6239421;-10,29638;10,31527;16.11.2023 13:26:38
32;33;3;2;mittel;right;5,938688;-8,389808;10,27895;16.11.2023 13:26:39
32;34;3;2;mittel;right;3,891736;-6,530475;7,602152;16.11.2023 13:26:40
32;35;3;2;mittel;right;-8,726651;-4,630429;9,879034;16.11.2023 13:26:41
32;36;1;2;mittel;right;5,772356;-6,489745;8,685441;16.11.2023 13:26:44
32;37;1;2;mittel;right;-1,376393;-6,450238;6,595455;16.11.2023 13:26:44
32;38;1;2;mittel;right;0,399914;-16,11816;16,12312;16.11.2023 13:26:45
32;39;1;2;mittel;right;3,932732;-8,011695;8,924889;16.11.2023 13:26:46
32;40;1;2;mittel;right;10,28532;-16,72134;19,63138;16.11.2023 13:26:47
32;41;2;2;mittel;right;-1,56059;-18,96841;19,0325;16.11.2023 13:26:51
32;42;2;2;mittel;right;1,608509;-15,51239;15,59556;16.11.2023 13:26:52
32;43;2;2;mittel;right;-2,246863;-10,43084;10,67009;16.11.2023 13:26:53
32;44;2;2;mittel;right;5,280138;-11,29707;12,47011;16.11.2023 13:26:53
32;45;2;2;mittel;right;-3,701304;-11,08287;11,68459;16.11.2023 13:26:54
32;46;4;2;mittel;right;5,386495;0,4573705;5,405878;16.11.2023 13:27:03
32;47;4;2;mittel;right;16,80333;-3,84042;17,23661;16.11.2023 13:27:04
32;48;4;2;mittel;right;14,19333;-6,527907;15,62255;16.11.2023 13:27:05
32;49;4;2;mittel;right;7,615767;-2,191604;7,924837;16.11.2023 13:27:05
32;50;4;2;mittel;right;15,27913;-8,179894;17,33097;16.11.2023 13:27:06
32;51;5;2;mittel;right;5,330473;-14,20845;15,17544;16.11.2023 13:27:10
32;52;5;2;mittel;right;0,7061811;-10,77116;10,79428;16.11.2023 13:27:10
32;53;5;2;mittel;right;4,171605;-10,08392;10,91273;16.11.2023 13:27:11
32;54;5;2;mittel;right;2,750928;-18,96783;19,16628;16.11.2023 13:27:12
32;55;5;2;mittel;right;3,871196;-16,63838;17,0828;16.11.2023 13:27:13
32;56;6;2;mittel;right;1,63384;-17,05401;17,1321;16.11.2023 13:27:16
32;57;6;2;mittel;right;6,719566;-24,5387;25,4421;16.11.2023 13:27:17
32;58;6;2;mittel;right;0,8320864;-14,59485;14,61855;16.11.2023 13:27:18
32;59;6;2;mittel;right;6,193501;-5,689354;8,410006;16.11.2023 13:27:18
32;60;6;2;mittel;right;-0,2225877;-9,684871;9,687428;16.11.2023 13:27:19
